date_time,Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft),Verified (m),diked_model_m,volume_m3,Qtotal_m3s
2022-07-21 06:18:00,2022/07/21,06:18,3.193,-,3.87,1.1795760000000002,1.050356622743643,642120.1032234553,-1.6865800214098576
2022-07-21 06:24:00,2022/07/21,06:24,3.372,-,4.04,1.231392,1.0514030155073861,642727.2720311627,-2.1087655142892308
2022-07-21 06:30:00,2022/07/21,06:30,3.556,-,4.22,1.286256,1.0527113417928708,643486.4276163069,-2.4933687423325344
2022-07-21 06:36:00,2022/07/21,06:36,3.744,-,4.42,1.347216,1.054258284704681,644384.0403635467,-2.8713087923218077
2022-07-21 06:42:00,2022/07/21,06:42,3.937,-,4.61,1.4051280000000002,1.056039710254977,645417.7115287825,-3.1944401439138566
2022-07-21 06:48:00,2022/07/21,06:48,4.135,-,4.79,1.4599920000000002,1.0580216138755407,646567.7099805914,-3.475816716863891
2022-07-21 06:54:00,2022/07/21,06:54,4.336,-,4.97,1.514856,1.0601780899480986,647819.0039986625,-3.7383737844082283
2022-07-21 07:00:00,2022/07/21,07:00,4.541,-,5.14,1.566672,1.0624974624216932,649164.8185610494,-3.9713926557456007
2022-07-21 07:06:00,2022/07/21,07:06,4.749,-,5.35,1.63068,1.064961405124798,650594.5199171178,0.5701773079103772
2022-07-21 07:12:00,2022/07/21,07:12,4.96,-,5.55,1.69164,1.0646076541011442,650389.2560862701,0.5656372883151293
2022-07-21 07:18:00,2022/07/21,07:18,5.172,-,5.74,1.7495520000000002,1.0642567198093331,650185.6266624767,0.5615247550025618
2022-07-21 07:24:00,2022/07/21,07:24,5.385,-,5.94,1.8105120000000001,1.0639083370271119,649983.4777506758,0.557381950936804
2022-07-21 07:30:00,2022/07/21,07:30,5.599,-,6.15,1.8745200000000002,1.0635625245351472,649782.8202483385,0.5532125314568386
2022-07-21 07:36:00,2022/07/21,07:36,5.812,-,6.35,1.93548,1.06321929884625,649583.663737014,0.5493920658514151
2022-07-21 07:42:00,2022/07/21,07:42,6.024,-,6.55,1.99644,1.062878443461467,649385.8825933075,0.5457037954985227
2022-07-21 07:48:00,2022/07/21,07:48,6.235,-,6.73,2.051304,1.0625398763638445,649189.429226928,0.5424847901302902
2022-07-21 07:54:00,2022/07/21,07:54,6.443,-,6.94,2.1153120000000003,1.0622033064106686,648994.1347024811,0.5388441092132149
2022-07-21 08:00:00,2022/07/21,08:00,6.647,-,7.17,2.185416,1.0618689952190805,648800.1508231644,-11.921372921426418
2022-07-21 08:06:00,2022/07/21,08:06,6.847,-,7.39,2.252472,1.0692652872422947,653091.8450748778,-12.0330034616468
2022-07-21 08:12:00,2022/07/21,08:12,7.042,-,7.58,2.310384,1.0766894791408796,657423.7263210707,-12.12942556128673
2022-07-21 08:18:00,2022/07/21,08:18,7.232,-,7.74,2.3591520000000004,1.0841108797991381,661790.3195231339,-12.21095763874467
2022-07-21 08:24:00,2022/07/21,08:24,7.415,-,7.91,2.410968,1.0915821659371547,666186.264273082,-12.296708491771042
2022-07-21 08:30:00,2022/07/21,08:30,7.591,-,8.07,2.4597360000000004,1.0991059188168057,670613.0793301197,-12.377271476660773
2022-07-21 08:36:00,2022/07/21,08:36,7.76,-,8.24,2.511552,1.1066789642359978,675068.8970617176,-12.462011592238575
2022-07-21 08:42:00,2022/07/21,08:42,7.92,-,8.4,2.5603200000000004,1.1143038579761473,679555.2212349235,-12.541641016299067
2022-07-21 08:48:00,2022/07/21,08:48,8.072,-,8.54,2.602992,1.1219774730557495,684070.2120007911,-12.611668250476086
2022-07-21 08:54:00,2022/07/21,08:54,8.215,-,8.66,2.639568,1.1296939343657186,688610.4125709624,-12.67224030437448
2022-07-21 09:00:00,2022/07/21,09:00,8.349,-,8.82,2.688336,1.1374187136517004,693172.4190805373,-12.750694498664561
2022-07-21 09:06:00,2022/07/21,09:06,8.473,-,8.99,2.740152,1.1451131473933727,697762.6691000565,-12.833177568302116
2022-07-21 09:12:00,2022/07/21,09:12,8.587,-,9.13,2.782824,1.1528573557190256,702382.6130246453,-12.901750351982276
2022-07-21 09:18:00,2022/07/21,09:18,8.691,-,9.26,2.822448,1.1606429444369832,707027.2431513589,-12.965545763672871
2022-07-21 09:24:00,2022/07/21,09:24,8.784,-,9.38,2.8590240000000002,1.168467030631947,711694.8396262812,-13.024628561135913
2022-07-21 09:30:00,2022/07/21,09:30,8.868,-,9.44,2.877312,1.176326770466828,716383.7059082901,-13.056909468155922
2022-07-21 09:36:00,2022/07/21,09:36,8.941,-,9.51,2.898648,1.184205990283777,721084.1933168262,-13.093550603327166
